Timestamp	Student ID Number	Grade Level	Name of Mission	What did you most like about the mission?	Describe the easiest part of the mission.	Describe the most difficult part of the mission.	What do you think can be improved about the mission?	On a scale of 1-10, how well do you feel you communicated with your fellow Infinity Knights?	On a scale of 1-10, how well do you feel other Infinity Knights communicated with you?	On a scale of 1- 10, how much did you trust your fellow Infinity Knights to complete their assigned tasks in a timely manner?	Give 1-2 examples during the mission that helped increase/decrease the trust between you and your fellow Infinity Knights? (please don’t list names, only positions).	Give a situation in which you had to use problem solving skills during the mission.	During the mission, when did you have to be creative in coming up with a solution to a problem?	DreamFlight believes that working as a team is an important component for success. After completing this mission, describe three personality traits a great Infinity Knight would have.	Rate the amount of teamwork used to complete the mission, as compared to the amount of teamwork when working within a classroom	What job/role did you apply for on this mission? (first choice)	Did you get the job/role for which you applied?	Do you feel like you want to learn more about this job/role in the future after you have undertaken this role? 	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	If you didn’t get the job you wanted, do you think that affected how you did your job?	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world, would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	Provide two specific examples as to how this mission tied directly in to what you have been learning with class.	What is something new that you have learned having completed the mission?
2018/03/20 12:20:12 PM AST	1502735	8th	Contaminant	I liked working with other people. And being successful at the mission	The easiest part was working together. And my part in the mission wasn’t that hard. 	The most difficult part was people not paying attention. And people not being fast enough. 	"People paying closer attention to the directions the captain is telling them and to what they are supposed to be doing. Is what we can approve. 
"	8	9	9	"concentration and group work could increase or decrease in the mission. 
"	When we had to get the depth of water or the temperature of water. 	When we were going to die,drown. We had to come up with a solution so we survived and didn’t die. 	Concentration,success,hard working	4	First Office	Yes	Yes	I would want to learn about this job in the future because it would be fun. And now i know somewhat about this job. 	doctor because it would be fun to fix people and help people. When they were sick. 	They would need to have a math degree because you need to do problem solving and math during missions or you need to be successful at working together,paying attention. 	No	No because i was calm and if your calm you are more successful. 	Yes	Yes, every job was contributed to the mission because everybody was doing their job correctly and all the jobs connected to eachother 									It tied to what we were doing it class because we were learning about different organisms. And we recently did a class experiment on water. 	I learned more about what to do when someome is attacking a ship or when you need to protect the ship. 
2018/03/20 12:26:03 PM AST	1500202	8th	Contaminant	I liked how we had to work together, and how everyone relied on each other to help them complete whatever task they had at the time, to reach our goal. 	I thought the easiest part of the mission was too listen to what we were being told by our captain and other crew members. Even though some didn't do as well as others, it was the most easiest task in the mission.	I think the most difficult part of the mission was to get the water samples. Everyone was running around trying to figure out how to do it. When we finally scanned the water, we couldn't find out how to send it to the governor. By the time we did send it to the governor, we had to do another water scan. It was just really confusing and chaotic.	Some students were not taking the mission seriously and that cost us the mission. It was a lot harder then I could have been and if we listened to directions from the captain, or any other crew mate, it would have been less confusing.	8	7	7	I trusted the pilot and navigator to steer our ship in the right direction, and I trusted our captain and communicator to give us important information about the mission.	I was the biologist so I had to use problem solving skills and my knowledge about the mission to create the best crimera possible.	I had to know when and how to launch the the crimera and I was creative when adding all of its abilities to help it along the way.	I think a great Infinity Knight needs to be responsible, brave, and works well with others when completing this mission.	5	Biologist	Yes	Yes	My job seemed really fun and interesting and I would love to learn more about it.	I was interested In being the doctor, because I am really interested in the medical field and want to be a doctor when I am older.	I think a biologist needs to be smart and responsible enough to do their job, and to do it well.	Yes	Even if it wasn't my specific job that needed to do something, I always felt Stressed to complete a certain task before it was too late.	Yes	Every job was important to help complete the mission. 									In science we are currently learning about pollution and causes of pollution. In the mission contaminant, we are doing exactly that, finding the cause of this pollution. 	I have learned it is important to work together to complete a task, or else it might not go as well as it could.
2018/03/20 1:31:39 PM AST	421509	8th	Contaminant	I liked fighting the patrol bots. 	The easiest part was traveling upstream.	The most difficult part was transporting the fish downstream.	I think it should be more complicated to find the fish and travel upstream.	8	8	9	Two examples of trusting others is when the captain helped navigate the ship and when the engineer made the weapons needed fast.	We had to use problem solving skills to capture the fish.	When we had to use the shield to capture the fish.	Teamwork,loud voice, leadership	4	Tactical (formerly Gunner)	Yes	No	Because it won't matter next year and I already know enough about it.	I was interested in biologist because I liked the idea of creating a super animal by  putting DNA into an egg.	They would need to know what is needed for different purposes.	No	There wasn't many deadlines that my position had and the ones that it did were very easy to complete.	Yes	All the positions had to do something to keep the ship running.									It has toxic waste in the river which is like the pollution we are learning about. Also, the mission had a factory creating pollution which is similar to how we are learning about different sources of creating pollution.	I have learned that fish need clean water to live and pollution can cause bad things such as starvation and spread of disease.
2018/03/20 1:32:01 PM AST	1500818	8th	Contaminant	Fishes 	Nothing was easy	Everything 	Communication 	7	3	7	Some people are very talkitive 	The sequencer 	The data collecting 	Team player  Loud      Helping 	2	Engineers	Yes	No	It’s boring 	gunner it looked cool 	Loud aim 	No	It doesn’t effect my grade 	No	Some people just sat their									Idk	Team work
2018/03/20 1:32:33 PM AST	421522	8th	Contaminant	working with others	taking calls and dycryting codes	trying to get all info	communication 	6	9	7	we all worked together and when someone needed help others would help them	talking to the computer to get information 	when trying to get the proper information 	communication working together and pasints	4	Communications	Yes	Yes	it was a fun job but i wish there was more	biologist it seemed like a really cool helpful job	communication team work	No	it wasn't as many as messages as i asummed	Yes	every one had to work together even though we didnt finish in time									we are learning about pollution which was in the water and the water cycle	teamwork and communication 
2018/03/20 1:35:30 PM AST	701108	8th	Contaminant	Doing my job	Finding the fish	Finding the evidence 	The way our pilot drove 	9	8	8	When the captain was checking on everyone to see if they were able to do their job or help any one of us 	Trying to figure out how to scan the water and finding the evidence 	We never did anything creative 	Kindness, patience, and respect 	5	Communications	Yes	Yes	Communication is key in many situations 	Doctor because I am interested in the medical field 	Respect, and kindness 	Yes	Yes because our mission would not have been very successful 	No	Without one job we would’ve been able to complete the mission. 									We are learning about pollution and there was pollution in the water 	Having great teamwork skills can make you successful
2018/03/20 1:35:33 PM AST	701114	8th	Contaminant	My position even though it wasn’t the one I wanted	Finding the fish	Doing the river scans	Just go a bit faster	8	7	10	It helped hmwhen the captain communicated well with the engineers to fix the ship	What was causing the river to be polluted	When trying to figure out how to use the scanner at my position	Teamwork and leadership	2	Deck Chief	No									No	Even if I didn’t get the job I wanted I should still use all of my will to do the job I’m assigned	First officer	Leadership and communication skills	Yes	Because I at least did not want a complete failur 	Yes	A ship only works when all pieces  are working	Polution 	Never trust one corporation to your biggest food source
2018/03/20 1:36:15 PM AST	1501466	8th	Contaminant	I liked everything about the mission.	There was no easy part for me.	Passing the mission was the most difficult part.	More time to complete the mission.	9	10	9	Everyone in the mission were very helpful and understanding. They all helped me with my position.	Solving the problems when the hacker attacked our ship.	I don’t know.	A Infinity Knight should have a lot of patience, communication, and trust on their teammates.	5	Hacker	No									Yes	Yes, because I had experience being the hacker so I would know what I was doing better. 	Being the videographer because I love taking pictures/videos.	Skills a person should have are patience, understanding other and communicating.	Yes	Yes because there wasn’t even time to complete the mission.	Yes	Because there needs to be everyone helping eachother out.	In science class we learned about keeping the environment clean and in the mission we were trying to clean the virus to keep the environment clean/safe.	Our society really needs to do something to help the environment.
2018/03/20 1:36:16 PM AST	432654	8th	Contaminant	fining the fish	fining the fish because there were not hard to find	Defending off the enemies	there was nothing to improved	9	9	9	increase	all over them	When I hacked all the enemies ship to stop the enemies using the weapons	Strength honor compassion	4	Hacker	Yes	No	I do not what to be a person who work with computers	I was not interested in other roles	Respect	No	if i picked a job then i should know what i am doing so if there is a deadline i should be able to get it done in time.	Yes	everyone helped everyone in way 									Pollution in the water like  polluting the air	Teamwork
2018/03/20 1:36:46 PM AST	421431	8th	Contaminant	flying the IKS HIGHLANDER	flying the IKS HIGHLANDER in the correct direction	communication	communication	10	1	4	trust decreases when people didn’t know how to simply press one button	i had to get the fish on the ship and get to the right location 	i had to find out the fastest way to transport the fish 	communication, determination, dedication 	4	Tactical (formerly Gunner)	No									No	the gunner didn’t shoot one time 	biologist, it looked cool to create the chimera 	smarts, teamwork 	Yes	if i didn’t fly to the right place we would have failed 	No	the gunner or and biologist didn’t do anything in that mission	the power plant was polluting the water, we are learning about pollution. the plant were using resources and we are learning about renewable and non renewable resources 	working 2 jobs at once was difficult 
2018/03/20 1:39:13 PM AST	1504544	8th	Contaminant	It got very chaotic which was very challenging.	It was mostly difficult so I would so say no part of the mission.	The further we went upstream, the more hectic and difficult it became.	Have the computer do less and the kids do more.	6	6	4	The gunner and Security Chief positions it seemed like they had little idea what they were doing, but everyone was confused.	We had to find the population of the fish and tell the governor what it was.	We had to ask the computer what the population is.	They have to be loud and clear with the positions such as Communication and Pilot.	4	Captain	Yes	Yes	It was very challenging, I do not think I did very well this mission but in past missions we did good.	Pilot	They need to help other positions when nothing is going on.	Yes	We had to save the fish before time was up and was very hard.	No	Some positions did not really do anything. 									The oil cans were in the ocean so it was polluting the water along with the big factories polluting the air.	We need very strong and clear communication to even come close to completing.
2018/03/20 1:41:24 PM AST	1505025	8th	Contaminant	What I like the most about the mission is trying to find the fish and help the city.	The easiest part of the mission was making sure everyone is healthy .	The most difficult part of the mission for our group is trying to test the water.	I think we can improve our communication.	6	4	5	When the captain communicate with use helped us build trust in him. Are plot had stop the ship and help us when the captain couldn’t do it by himself. Both of those increase our trust .	I had to use my skill when I have to make sure everything is normal in any position.	We had to be creative when we need the fish to follow us back .	Good communicator, helpful and smart 	4	Doctor	Yes	Yes	I like the job and it would really be useful in the future.	Hacker because I like the job of a hacker and I understand it .	They would need to know what help who .	Yes	I felt pressured when the position talked with me to make sure the healthy.	No	No because some position didn’t have much to do and they just help each other.									This mission tie with how we effect the environment , and what we can do to stop the pollution.	How of everyday life/ job can harm people and the environment.
2018/03/20 1:45:47 PM AST	1505256	8th	Contaminant	The teamwork and dedication my team put in	Finding the fishes	Combat	Better graphics to make it more realistic	9	8	7	Every position had to trust me as engineer 1 to repair the ship	Repairing the ship needed to solve puzzles fast	Choosing what to repair first	Team player, Courageous , Wise	5	Engineers	Yes	Yes	I want to be an engineer in the future	Tactical I share an experience from video games 	Accurate and courageous	Yes	Everyone needed their equipment to be fixed to carry out their roles	Yes	We all worked together as a team and through that we got the dub(W)									To be a ream player and work with team mates	I am really good with puzzles
2018/03/20 2:22:15 PM AST	701100	8th	Contaminant	It was was fun because I was captain and gunner 	Doing river scans	Fighting the bad dudes 	We could not be detected 	10	10	9	Telling me the right river scans 	To fight Vikasa	To make the animal	"Be good at team work 
Be nice be happy"	4	Captain	No									No	I will always do my job 	Pilot since I like to drive things 	Good with people 	No	I’ll do it when I can	No	Some didn’t do things for a while 	Trying to conserve pollution 	Pollution is bad for the environment 
2018/03/20 2:23:47 PM AST	701053	8th	Contaminant	How well my team worked together.	Communication with my team.	The most difficult part of the mission was not getting angry.	Our team could’ve stayed calm and not have gotten mad when something went wrong	9	10	8	When the hacker let the system get hacked.	How to make the river scan.	I never had to be creative to come up with a solution to a problem.	Strength,logic, patience 	5	First Office	No									No	I liked the job that i got.	Communications because I have done it before.	Common sense.	No	It was a very laid back job.	Yes	We all had to work together for our mission to be a success.	Vacasa was putting pollution into the air and killing off species.	Keeping the environment clean is critical.
2018/03/20 2:25:24 PM AST	1500802	8th	Contaminant	When we got to fight with the enemy ships.	The easiest part was getting through the river until we ran into the enemy.	Trying to kill all the enemy ships.	To not have as many enemy ships that there where.	8	8	9	The captain didn’t know much about the mission.	To help finish the water scan.	Making the fish follow us.	Confidence, good at communicating, and having a knowledge of what to do.	5	Tactical (formerly Gunner)	Yes	Yes	It was a fun job	The captain or the second officer because they look like it’s a big role but it’s fun.	Confidence,communication,knowledge	No	I don’t usually get nervous.	Yes	Everyone was doing something 									The global warming because of pollution, and the water was polluted in the mission.	How many things could go wrong from one river being polluted.
2018/03/20 2:26:08 PM AST	701228	8th	Contaminant	My job	My job	communicating with team	Nothing 	6	6	5	Engineer and Captain	Scanning water	Finding fish and make it follow 	Communication, loyalty, honest	4	Doctor	No									No	I was fine with the other job I got	Engineer because it would be fun to see the building or art work of the job 	communication 	Yes	I didn't know what to do in the bargaining	Yes	every job have something different to do that will help	Pollution and Listening 	Commutation is needed
2018/03/20 2:26:38 PM AST	1505834	8th	Contaminant	Being the captain 	Scanning the river	Finding the fish	Testing the water could be easier	10	10	8	My navigator either almost killed us by turning the engines all the way up by accident or in the pre mission training he took us to mars	When we were getting attacked by vicassa 	When I had to lie to the vicassa situation 	Brave, Strong, and compassionate 	5	Captain	Yes	No	Because it’s pretty straight forward a captain is a captain 	Tactical because I wanted to have an intense job 	Be able to do well under pressure and able to take lead 	Yes	Because the governor kept calling asking about the water quality and we couldn’t get it for him	Yes	Because everyone had something to do that could kill us or save us									We were learning about pollution and vicassa was polluting the river	That it was radioactive waste in the river
2018/03/20 2:27:39 PM AST	1500867	8th	Contaminant	What I liked most about the mission is how we learned how to work together as a team and solve a problem.	The easiest part of the mission was the very beginning before everything went crazy.	The most difficult part of the mission for me (I was the doctor) is when everyone was dying and I had to heal them all at once.	I think that this mission could be improved by having 2 captains because it was very stressful for the captain.	9	8	10	What helped increase my trust is when the pilot got us unstuck and back up and running. What decreases my trust is when the captain could not multitask and help everyone. 	I had to use problem solving skills when everyone was dying. 	I had to be creative when nobody was telling me what to do and I had to figure it out on my own.	A great infinity knight should be good at communicating, hard working, and determined. 	5	Doctor	Yes	Yes	I am very interested in everything involving doctoring and health science. 	I was interested in biologist because biology intrigued me.	They would need to be intelligent and hard-working 	Yes	So many people were dying and I had a limited time to fix them.	Yes	Everyone had an important role in our success as a team 									We have been learning about water and air pollution.	I’ve learned how to work with my team. 
2018/03/20 2:28:42 PM AST	701121	8th	Contaminant	I liked that the mission was fun to do.	The easiest part was working together.	The most difficult part was trying to find everything.	I think we can improve our communication.	9	8	7	Everyone communicating and getting along.	We had to use problem solving to kill off everything.	We had to be creative whenever we almost died.	Smart, helpful and caring.	5	Biologist	Yes	Yes	I think biologist is an interesting job.	I think the captain is an interesting job because thats who communicates with everyone.	You would have to be good at communicating.	No	No because I beleived in us.	Yes	Yes, everyone had a role in it.									The air pollution and killing things off.	I have learned that in a mission communication is the key.
2018/03/20 2:29:57 PM AST	421518	8th	Contaminant	I liked my position as the doctor in my mission.	The sitting in the wheeling chair.	"Having everyone die at the end and sometimes not being able to save them without a time
consuming surgery."	The first officer positions always being filled.	9	9	5	When nobody scanned their hands just to spite me!!	When we had to do the water test and work together to figure it out!	"When giving people
medications i memorized a song to sing."	They would have honor compassion and strength!	5	Doctor	Yes	Yes	I would like to be a murse when i grow up! I think saving lives is pretty cool!	Honestly none of them tickled my sparkle! I am not interested in many things!	They would need to be able to handle stress well! Because everyone dies at the end! ITS STESSFUL!!!	Yes	Because everyone dies no matter what you do! You have to save them! 	Yes	"Team work is critical for this mission because everyone is needed for
secession! Just like in life i would be dead without my mom!"									The pollution issues and how sensitive ecosystems can be.	That fish follows you when you provoke them.
2018/03/20 2:32:56 PM AST	421446	8th	Contaminant	What I liked mostly about the mission was whenever the bar people found us and came after us and we lied to them	The easiest part of the mission was when we had to plant the mines 	Defeating the other robots in the water	I think that you should have more choices to make in the mission 	9	9	8	When we started to mess up and they weren’t listing I lost trust a little in out infinity knights 	When I had to put the ship at a certain speed 	When I had to have a normal speed on the ship 	Team work communication listening	5	Navigator	No									No	I new what to do and still had fun	Gunnner capitin there fun	Know what there doing the whole time	Yes	Cause if I made he shipnto fast we would crash	No	Each had a part for us to beat the mission	Stuff that we learbed	Team work makes a dream work 😂
2018/03/20 2:33:10 PM AST	421528	8th	Contaminant	It was fun and I liked the story line. 	The easiest part of the mission was finding the fish.	The most difficult part of the mission was finding the factory and defeating the sandflies	We could have worked together a little better. We also could have took it more seriously. 	9	9	8	We all communicated and worked pretty well together. We also all listened to each others ideas and opinions.	We as a team had to use problem solving skills when we had to try to find the factory. 	When we had to be creative to come up a solution when we were trying to find the fish.	"good communication skills
good problem solving skills
outgoing
"	4	Hacker	Yes	Yes	Yes, because it is very interesting and I feel that I have the skills that it takes.	The communications officer because it seems like an intersting and fun job to have and decoding messages sounds fun	"outgoing
good communication skills
good computer skills"	Yes	Yes because one of the other jobs needed me to do something in order for them to continue their job.	Yes	Yes because every job is important and has an important job.									It tied in with our science class because we are learning about pollution. We are also learing about humans in the environment.	The many things can suffer from just a little pollution. 
2018/03/20 2:33:25 PM AST	1501743	8th	Contaminant	What was causing pollution 	When we had to check if the water is polluted 	Fighting the robots it was very difficult because they were moving very fast	Nothing	9	9	10	Increase because I have done  this 3 times.Doing it the therd time I was use to what is going on	Knowing we’re we were going	When we were out of energy 	Helpful,be specific,and worktogath	5	Engineers	Yes	Yes	Because I want to be a engineer 	Biology because I like science 	Need to know how to work together 	Yes	Because when you have the job of being engineer you need to fix many thing at the same time	Yes	Because you need  many people to eachieve something  									We have been learning about pollution.we also learned about how to solve problems if you don’t know many things	You need to work with everyone 
2018/03/20 2:34:04 PM AST	421493	8th	Contaminant	i liked the end when we realized we succeeded and we all were excited 	the easiest part of the mission was the beginning. it was easy because nothing intense or crazy was happening.	the most difficult part was when the enemies found us and came after us. it was very stressful because we have done to do a lot of things at once. 	there should be more then one captian. we need to have more people in charge to run the ship to avoid as much chaos.	9	8	7	i worked very well with my communications officer and my doctor. when they needed help i was there to help them and they were there to help me. also when we needed to scan the water we worked well together 	we used problem solving skills when we needed to decript a message or learn new things about our mission	we had to be creative when all of our other solutions didn’t work to solve a specific problem 	three good traits would be determination, kindness, and focus	5	Deck Chief	Yes	No	i do not want to be that when i grow up 	i was also interested in doctor because i wanted to have that responsibility 	they would need to be able to stay focused and work hard.	Yes	i wanted to stay focused and get things done as quickly as possible	Yes	everyone had an important rule in order to succeed the mission 									it tided in with biology and solving problems	i learned that every job is important to solve a problem 
2018/03/20 2:34:22 PM AST	701061	8th	Contaminant	The thing that I liked most about the mission was fighting off the bots in order to not die and get the fish.	The easiest part of the mission was finding the fish in the water and getting them into the ship.	Even though it was my favorite part of the mission fighting off the bots was very difficult too.	Something that could be improved about the mission could be maybe knowing that you found the fish because you didn't really know if you went past them yet during the mission.	9	10	9	Something that increased the trust was when the captain would tell me something that I would need to do and I would get it done.	We had to use problem solving when fighting off the bots in the mission.	We had to be creative when trying to gets fish when we were being attacked by the bots.	They should be creative, confident, and have common sense.	5	First Office	No									No	No because as long as I was a part of the mission it didn't matter.	I seem interested in first officer because I wanted the responsibility of helping others and being mote in charge.	They would need to be very confident and be very good at working with others.	No	No because I would get them done very fast and would be on top of all of my other things.	Yes	Yes because we all worked together to get it done.	It tied in with how we are learning about population and how different tings can affect one another.	Something new that I have learned is that it is very important to communicate with others during group work.
2018/03/20 2:37:08 PM AST	421446	8th	Contaminant	What I liked mostly about the mission was whenever the bar people found us and came after us and we lied to them	The easiest part of the mission was when we had to plant the mines 	Defeating the other robots in the water	I think that you should have more choices to make in the mission 	9	9	8	When we started to mess up and they weren’t listing I lost trust a little in out infinity knights 	When I had to put the ship at a certain speed 	When I had to have a normal speed on the ship 	Team work communication listening	5	Navigator	No									No	I new what to do and still had fun	Gunnner capitin there fun	Know what there doing the whole time	Yes	Cause if I made he shipnto fast we would crash	No	Each had a part for us to beat the mission	Stuff that we learbed	Team work makes a dream work 😂
2018/03/20 2:39:11 PM AST	1504315	8th	Contaminant	Something I liked the most about the mission was the story line. 	The easiest part of the mission was telling the governor information that we found in the waters. 	The most difficult part of the mission was keeping up with all the problems happening in the ship. 	Somethings I think could be improved on the mission was the time it takes to scan the waters because it took five minutes just to get one scan completely done. 	10	9	8	I thought the engineers were going to be a lot slower than they actually were and I thought the hacker would slack off, but ended up doing very well in fixing and stopping the computers.	A situation during the mission in which we had to use problem solving skills is when the fertiliser incorporation was onto our disguise as a fish. 	A situation during the mission where we had to be creative was when the fertiliser incorporation sent their robots to keep us from finding the pollution they are dumping in the river. 	Honour, compassion, strength 	5	First Office	No									No	I still got a job that was fun to do and I wouldn't risk failing the mission just because I didn't like the job I had. 	Another role I seemed interested in was engineer. 	Skills that a person had to of had for this job was to focus and to know what they are doing in a timely matter. 	No	The job as communications was pretty simple an it was easy to do because I had to deliver the correct information to the captain so he could tell the govenor. 	Yes	If there are positions not filled it would be very difficult to have a successful mission. 	This mission tied into what we were learning in class bwcause we were learning about pollution and how it effects the environments, we were also learning about the sixth extinction and how we are effecting that extinction. 	Something new that I had learned from completing the mission was that when water is polluted sandflies will appear an live there. 
2018/03/20 3:44:57 PM AST	1503647	8th	Contaminant	I liked the fact that we had our own jobs, but had to work together to fulfill them.	The easiest part of the mission was when we got to take the fish back.	The hardest part was when we had to take water samples.	We could be given more information on what to do instead of wasting large amounts for time figuring things out ourselves.	8	8	8	The hacker had to communicate with me a lot but did not.	Figuring out how to resolve security issues.	Upon using the codes I discovered to dispatch security teams.	Loyalty, trust, and perseverance	5	Videographer	No									No	I had previous experience with the job I was given.	Videographer because I love filmography.	A protective manner	Yes	I did because we came out successful in the time we were given.	Yes	I was lucky to be gifted with a hardworking and collected team.	During class, we have been learning about the sixth extinction and how we are causing it. Pollution is the avid reason for global warming, as it was for the health crisis and missing fish in the Contaminant Mission.	Even though it is our fault for polluting the earth, it isn’t too late to change our old habits.
2018/03/20 4:28:08 PM AST	421372	8th	Contaminant	I like the background of the mission. I like that we are trying to uncover a hidden secret. 	The easiest part of the mission would probably be fixing all the floods, fires etc 	The difficult part would have to be getting away from the ships with very little oxygen left. 	I think are ability to talk to each other more could be better 	8	6	7	My fellow infinity knights didn’t hesitate to come over and help me when I was stuck on something. They also worked as fast as possible when me along with other needed more computer capacity. 	When the fish were trailing behind us and we needed to make sure they followed us out. We had to move slowly and were already really low on oxygen. 	When the water was contaminated we had to come up ways to clean and improve the water	A great infinity night should have good work ethic, the ability to work as fast as possible, and to have teamwork. 	5	Deck Chief	Yes	No	I’ve already done this job before and I think I am pretty good at it 	The communication role  seemed interesting and that would have been a job I would have liked to have done it 	I think they would have to be very on top of things and always watching for things to go wrong. & when they do being very fast and efficient at fixing the problem 	No	I was very comfortable with my job so it wasn’t very easy to get things done	Yes	I believe that every job had just as much to do with it because everyone needed each other to complete the mission successfully 									We have been learning about how much the things we do on an everyday basis can effect the earth tremendously. This tied in with the mission because we were trying to uncover a hidden problem that’s been causing people to get extremely ill	I’ve learned that you should really watch what your doing and how much it’s affecting the earth. And try to cut out daily things that are bad for the earth 
2018/03/20 4:28:40 PM AST	929036	8th	Contaminant	When we had to destroy the fertilizer plant.	When we survy the river.	Destroying the bots in the river.	Nothing can be in proved.	9	9	10	When the captian tells you what to do when we survey the river.	When we survey the river.	When we had to destroy the bots.	We were strong ,nice and helpful as one.	4	Security Chief	Yes	Yes	I want to be a police officer when I grow up.	Security guard because I want to be in the military.	Stragitest is one of the things to be in real life.	No	No because every one helped one another.	Yes	Yes because every job had to do something.									We were learning about pollution and how to stop pollution.	That fertilizer plants can cause pollution.
2018/03/20 4:28:41 PM AST	1504444	8th	Contaminant	find fish.	water	finding the fish and kill them.	done the mission.	6	5	5	"find fish and kill them
"	secretary gard 1	no	find fish,make clean water,ect	3	Security Guard	Yes	Yes	because i want to know more about it.	doctor i wanna do docter.	doctor	Yes	deadlines	Yes	critical									i learn what is a mission in class.	what is the security gaurd.
2018/03/20 5:31:15 PM AST	421519	8th	Contaminant	The teamwork was awesome.	The rivers were easy to navigate.	In the end, there were many emiemes that, for a moment, trapped us.	The biologist had little to do on the mission. I think we should have controlled the water scans.	10	8	6	The doctor was not doing his job, not scanning anybody. This decreased my trust in the doctor.	I hadn’t used problem solving in this mission.	I didn’t have to.	I good Knight would be brave, determined, kind, and honorable.	5	Doctor	No									No	I easily completed the biologist’s job and enjoyed it.	I was interested in the first officer role because I love to help people.	They should be quick thinking, intelligent, and nice.	No	My job was fairly easy.	Yes	We had to work together to scan the water and do other tasks.	We are learning about pollution and the industries that create the pollution.	I honestly hadn’t learned anything new from this mission.
2018/03/20 6:03:08 PM AST	421390	8th	Contaminant	the teamwork	the easiest part of the mission was finding the fish 	the most difficult part was when you fought the corporation	the engineer being stronger the engineer position is very weak 	6	4	10	the fact that a majority of the positions went up too the first officer to see the positions since we did not have a first officer. also the tactician not killing the enemies.	I dont think we got to a point where we need that.	one part where we had to be creative was when we had to figure out what the missions we had to do to move on.	Three personality traits best to have are communication,trust, and not putting blame on others.	4	Engineers	Yes	Yes	because engineer is intriguing  where i can understand whats happening like in science i can learn about the basics of life and atoms to know how everything works 	i was also interested in the first officer telling people what to do and being a successor to the captain	one skill would be being able to multi task so you can complete  everything and work fast 	Yes	because if you don't get that certain thing fixed fast enought the whole ship will feel that effect so the team heavily relies on you 	Yes	everything is just a unit with little things doing there job to complete the larger picture more than them selves "Emergence"									the polloutin in the water and the fish causing more sand flys 	how one animal and polloution can effect an envoirment
2018/03/20 7:03:25 PM AST	1505025	8th	Contaminant	What I like the most about the mission is when we were trying to find the fish.	The easiest part of the mission was making sure everyone was healthy.	"The most difficult part of the mission was we tried to test the water and send the report to the city.
"	Something that can be improved in the mission is how we communicate.	8	4	8	Our trust increased when the caption went and tried to help everyone. Also when our pilot would stop and help out other people when the caption couldn't.	knowing the different types of pill help me.	I had to come up with a solution when everything in the body wasn't normal so I had to come up with a solution.	Good communicator, helpful and smart 	5	Doctor	Yes	Yes	I would like the undertake this role because I really how it works.	Hacker because I now how the job works and I understand it better	I think they would have to be smart and understand how different things work.	Yes	I felt pressure when other position how table with their health and I couldn't help them all.	No	we had some job the didn't need anyone to work on because it was not needed 									We were learning about pollution in our environment and ho we can stop pollution.	Most of our actions effect the environment.
2018/03/21 6:28:49 AM AST	22bistaa	8th	Contaminant	It was exciting solving everything.	The easiest part was staying underwater.	The difficult part was finding the fish.	You can make it easier.	5	5	7	Everyone was trying to achive the same goal.	I don’t remember a suition like that.	When it told us to talk to the computer.	Three traits are bravery, itenglence.	4	Deck Chief	No									Yes	It affected it because I did not know how to do the job.	I wanted to do the role I alreadey knew how to do.	I think that person would need leadership skills.	No	It just felt like a game so I didn’t feel a lot of pressure.	Yes	All the jobs was connected to eachother.	What we are learning is class has something to do with pollution and so does the mission.	Nothing new.
2018/03/21 7:09:13 PM AST	yn1505108	8th	Contaminant	 Working together with others	 Finding the fishes 	 Everything was easy 	 We got experience 	4	5	9	 Working hard 	Nth 	Idk 	 We got  experiments we got to learn how to work with a team 	3	Biologist	Yes	Yes	 I want to know more about it 	 Captain  because I want to learn how to lead people 	 Captain 	Yes	Idk 	Yes	 Because  lots of  people life are dependent on us 									Water pollution	 How much important is working with the team 
2018/03/22 9:05:51 AM AST	934114	8th	Contaminant	How we all worked together and completed the mission	Whenever we just had to go to the places where we had to scan	Whenever the corporation started firing at us	We could've done better whenever we were attacked	8	7	6	Whenever people where communicating with eachother and trying to figure out problems	Whenever i had to decrypt messages	Whenever i could not figure out how to decrypt messages	Braveness nobleness and kindness	4	Communications	Yes	No	Because i just felt like the role did not fit me	Engineer because i feel as if that is the best role to fit my skills	They need be social not shy kind and aware	Yes	Because i do not wanna fail anyone	Yes	Because without teamwork and everyones help we wouldn't have been able to do it									It taught us about science teamwork and responsibility	That teamwork is very important in life
